time	kind	file	md5	bytes	tables	agent	task
sales_order_review_drop_20260923-1854.sql	2026-09-23 18:54:18	dev-20260921-011	删除死表 sales_order_review 前 guard（表级，含 CREATE TABLE 可重建）	b7e4d984750f4b82d4a4821c804ab9ca
2026-09-23 18:54:27	full	jjx_erp_db_backup_20260923-1854_before-208.sql	c2c17421600c26fa75c1a0052134010c	5774187	114	agent	dev-20260921-011
sys_menu_hide_product_instance_20260923-1906.sql	2026-09-23 19:06:55	dev-20260921-021	产品实例菜单下架前 guard（sys_menu 表级）	f926df8274961da6f2299519cd1933bb
2026-09-23 19:06:56	full	jjx_erp_db_backup_20260923-1906_before-209.sql	5481c4a9393fb663254b132dfff3893a	5776498	113	agent	dev-20260921-021
sys_notification_eventcode_backfill_20260923-1929.sql	2026-09-23 19:29:34	dev-20260921-014	回填 sys_notification.event_code 前 guard（表级）	b0b803beeeab36a2f9d22d8bd9f5f82f
2026-09-23 19:29:35	full	jjx_erp_db_backup_20260923-1929_before-210.sql	c0d4d27f8330df192ae1869e6ec41313	5802022	113	agent	dev-20260921-014
sys_task_register_20260923-1932_before-014-d.sql	2026-09-23 19:32:13	dev-20260921-014	登记 D 任务（变量注册表自动化）前 guard	8f334f9dad80f2bb3431e6977be31812
2026-09-23 17:20:00	guard	guard_2pcs_correction_20260923-1720.sql	01f1890fb234b54f99f81f7f9ede338c	70529	10	Hermes	dev-20260923-021
2026-09-23 18:37:00	guard	guard_rework_demo_20260923-1837.sql	819395e5397a42e874b97b1a57cc35d8	92395	13	Hermes	dev-20260923-031
2026-09-23 19:29:00	guard	quality_ncr_superseded_void_20260923-1929.sql	7d334016268f542690f813a2a5e2c692	8430	2	Hermes	dev-20260923-036
2026-09-23 19:43:00	guard	quality_ncr_action_reinspection_link_20260923-1943.sql	a9456c639b7c885313a01073aaba3b8f	3873	1	Hermes	dev-20260923-033
sys_task_register_20260923-2004_before-rule-auto-commit.sql	2026-09-23 20:04:14	dev-20260923-044	登记「任务完成即自动提交」规范任务前 guard	94bb51702849ffce7fabec3ec2c9e595
sys_config_biz_no_rule_20260923-2015_before-207.sql	2026-09-23 20:15:23	dev-20260923-029	单号第5批改前缀前 guard（sys_config 表级 where=biz_no_rule.%）	cd8ce031fee5ad640800e9eedd633676
2026-09-23 20:15:23	table	jjx_table_backup_20260923-2015_before-207.sql	90c7b5c480ba72dc20248db993c7dadb	17298	1	agent	dev-20260923-029
2026-09-23 20:18:09	full	jjx_erp_db_backup_20260923-2018_before-211.sql	b1cd88fc3a00e1eb7e3c5b2fbb32ee2f	5841313	114	hermes-agent	dev-20260923-039
sys_task_register_20260923-2019_before-capa-gate.sql	2026-09-23 20:19:37	dev-20260921-043	登记 CAPA 结案门禁任务前 guard	9554e602bb2be22fa5ad87f85ef8b82c
2026-09-23 21:18:38	guard	sys_task_register_20260923-2118_before-backup-cleanup.sql	ae2c3ea9804beddcd55958fd956c1a37	1139985	1	dahuang	dev-20260923-047
2026-09-23 21:18:39	full	jjx_erp_db_backup_20260923-2118.sql	88caaad36986182a0c010eea68149b75	5848706	114	dahuang	dev-20260923-047
2026-09-23 21:32:08	guard	sys_task_register_20260923-2132_before-backup-rule-restore.sql	810b8bf2b15f3934e2cf067184887695	1141229	1	dahuang	dev-20260923-048
2026-09-23 21:32:15	full	jjx_erp_db_backup_20260923-2132.sql	1a6df7baad3d864212aac093d1fa63b3	5827559	113	dahuang	dev-20260923-048
2026-09-23 22:09:36	guard	sys_task_register_20260923-2207_before-issue-registration.sql	1d2818f699939ce5d5a6ac5ecb069fdc	1143965	1	dahuang	dev-20260923-049
2026-09-23 22:12:53	guard	sys_task_register_20260923-2212_before-055-cleanup.sql	b2dcfae2fc8b75cdb163a711ab696a1c	1150125	1	dahuang	dev-20260923-055
2026-09-23 22:15:53	guard	sys_task_register_20260923-2215_before-056-backup.sql	98a911d3153b3a45a5ca5873111675a9	1152527	1	dahuang	dev-20260923-056
2026-09-23 22:15:58	full	jjx_erp_db_backup_20260923-2215.sql	f9aa0042ae24ea3bf4b8b271a422ab44	5838370	113	dahuang	dev-20260923-056
